constant,formula,value
D_crit (kg/m),input,6.7329500000000003524E+26

metric_description,formula,case1 (M=M),case1b (M=M r2=1e8),"Case 2:R=R 30,24-8",Case 3:P=P,Case 4:I=I,General,General2
m_1 (kg),input,2.0000000000000000398E+30,2.0000000000000000398E+30,1.0000000000000000199E+30,1.0000000000000000199E+30,1.0000000000000000537E+32,1.0000000000000000000E+20,1.0000000000000000000E+20
m_2 (kg),input,2.0000000000000000398E+30,2.0000000000000000398E+30,9.9999999999999998322E+23,1.0000000000000000133E+27,1.0000000000000000199E+30,1.0000000000000000199E+30,1.0000000000000000199E+30
r_1 (m),input,3.0000000000000000000E+03,1.4999999999999999321E-07,1.0000000000000000000E+08,1.0000000000000000000E+08,1.0000000000000000000E+07,1.9999999999999999095E-07,9.9999999999999995475E-08
r_2 (m),input,7.0000000000000000000E+08,1.0000000000000000000E+08,1.0000000000000000000E+08,1.0000000000000000000E+07,1.0000000000000000000E+08,1.0000000000000000000E+07,1.0000000000000000000E+07
I_1 (kg·m²),(2/5)*m_1*r_1^2,7.1999999999999994790E+36,1.8000000000000000000E+16,3.9999999999999997190E+45,3.9999999999999997190E+45,3.9999999999999997190E+45,1.6000000000000000000E+06,4.0000000000000000000E+05
I_2 (kg·m²),(2/5)*m_2*r_2^2,3.9199999999999997500E+47,7.9999999999999994381E+45,3.9999999999999997588E+39,4.0000000000000001215E+40,3.9999999999999997190E+45,4.0000000000000000557E+43,4.0000000000000000557E+43
D_1 (kg/m),m_1/r_1,6.6666666666666662971E+26,1.3333333333333333505E+37,1.0000000000000000000E+22,1.0000000000000000000E+22,1.0000000000000000906E+25,5.0000000000000000664E+26,1.0000000000000000133E+27
D_2 (kg/m),m_2/r_2,2.8571428571428573676E+21,2.0000000000000000000E+22,1.0000000000000000000E+16,1.0000000000000000000E+20,1.0000000000000000000E+22,9.9999999999999991611E+22,9.9999999999999991611E+22
r_s_1 (m),(D_1/D_crit)*r_1 = 2*G*m_1/c^2,2.9704641076474663350E+03,2.9704641076474663350E+03,1.4852320538237331675E+03,1.4852320538237331675E+03,1.4852320538237330038E+05,1.4852320538237331901E-07,1.4852320538237331901E-07
r_s_2 (m),(D_2/D_crit)*r_2 = 2*G*m_2/c^2,2.9704641076474663350E+03,2.9704641076474663350E+03,1.4852320538237331893E-03,1.4852320538237331338E+00,1.4852320538237331675E+03,1.4852320538237331675E+03,1.4852320538237331675E+03
gtd_1,"sqrt(1-r_s_1/r_1), or --- if r_s_1>r_1",9.9223472277705546118E-02,0.0000000000000000000E+00,9.9999257381215678198E-01,9.9999257381215678198E-01,9.9254605911351168057E-01,5.0733024065999998697E-01,0.0000000000000000000E+00
gtd_2,"sqrt(1-r_s_2/r_2), or --- if r_s_2>r_2",9.9999787823767216643E-01,9.9998514756916445645E-01,9.9999999999257382921E-01,9.9999992573839457943E-01,9.9999257381215678198E-01,9.9992573563971121064E-01,9.9992573563971121064E-01
I_1/I_2,I_1/I_2,1.8367346938775510016E-11,2.2500000000000001875E-30,1.0000000000000000000E+06,9.9999999999999985448E+04,1.0000000000000000000E+00,3.9999999999999998477E-38,9.9999999999999996192E-39
(I_1/I_2)^(1/5),(I_1/I_2)^(1/5),7.1254005978879427635E-03,1.1760790225246727277E-06,1.5848931924611136424E+01,1.0000000000000001776E+01,1.0000000000000000000E+00,3.3144540173399835898E-08,2.5118864315095777731E-08
(*k) D_2/D_1,D_2/D_1,4.2857142857142863069E-06,1.4999999999999999193E-15,9.9999999999999995475E-07,1.0000000000000000208E-02,9.9999999999999980398E-04,1.9999999999999998248E-04,9.9999999999999991240E-05
(*G) gtd_1/gtd_2,gtd_1/gtd_2,9.9223682806777749321E-02,0.0000000000000000000E+00,9.9999257381958295277E-01,9.9999264807321619486E-01,9.9255343000172735479E-01,5.0736792001401087582E-01,0.0000000000000000000E+00
(*k) k_m=m_1/m_2,m_1/m_2,1.0000000000000000000E+00,1.0000000000000000000E+00,1.0000000000000000000E+06,1.0000000000000000000E+03,1.0000000000000000000E+02,1.0000000000000000364E-10,1.0000000000000000364E-10
(*k) k_r=r_1/r_2,r_1/r_2,4.2857142857142854598E-06,1.4999999999999999193E-15,1.0000000000000000000E+00,1.0000000000000000000E+01,1.0000000000000000555E-01,1.9999999999999999976E-14,9.9999999999999999882E-15
(*G) sqrt(1-D_small/D_crit)/sqrt(1-D_big/D_crit),"sqrt(1-D_small/D_crit)/sqrt(1-D_big/D_crit), with small=min(D_1,D_2), big=max(D_1,D_2)",1.0078585928636803359E+01,---,1.0000074262406477565E+00,1.0000073519858660998E+00,1.0075024426157817015E+00,1.9709582488788019994E+00,---
(*G) sqrt(1-(r_s/r)_small)/sqrt(1-(r_s/r)_big),"sqrt(1-(r_s/r)_small)/sqrt(1-(r_s/r)_big), with small=min(r_s_1/r_1,r_s_2/r_2), big=max(r_s_1/r_1,r_s_2/r_2)",1.0078239102930142579E+01,---,1.0000074262355655996E+00,1.0000073519808350131E+00,1.0075024374237060432E+00,1.9709563032136236949E+00,---
